infiltration;Trench Raiding;;;;;;;;;;;;x,,
infiltration_desc;;;;;;;;;;;;;x,,
modern_army_leadership;Modern Army Leadership;;;;;;;;;;;;x,,
modern_army_leadership_desc;;;;;;;;;;;;;x,,
modern_military_science;Modern Military Science;;;;;;;;;;;;x,,
modern_military_science_desc;;;;;;;;;;;;;x,,
modern_military_science;Modern Military Science;;;;;;;;;;;;x,,
modern_military_science_desc;;;;;;;;;;;;;x,,
modern_artillery;Modern Artillery;;;;;;;;;;;;x,,
modern_artillery_decs;;;;;;;;;;;;;x,,
modern_divisional_structure;Great War Divisional Structure;;;;;;;;;;;;x,,
modern_divisional_structure_1920;Modern Divisional Structure;;;;;;;;;;;;x,,
modern_divisional_structure_1920_desc;;;;;;;;;;;;;x,,
modern_army_doctrine;Great War Army Doctrine;;;;;;;;;;;;x,,
modern_army_doctrine_1920;Modern Army Doctrine;;;;;;;;;;;;x,,
modern_army_doctrine_1920_desc;;;;;;;;;;;;;x,,
modern_naval_doctrine;Great War Naval Doctrine;;;;;;;;;;;;x,,
modern_naval_doctrine_1920;Modern Naval Doctrine;;;;;;;;;;;;x,,
modern_naval_doctrine_1920_desc;;;;;;;;;;;;;x,,
modern_ship_construction;Modern Ship Construction;;;;;;;;;;;;x,,
modern_ship_construction_desc;;;;;;;;;;;;;x,,
modern_naval_design;Great War Naval Design;;;;;;;;;;;;x,,
modern_naval_design_1920;Modern Naval Design;;;;;;;;;;;;x,,
modern_naval_design_1920_desc;;;;;;;;;;;;;x,,
modern_naval_science;Modern Naval Science;;;;;;;;;;;;x,,
modern_naval_science_desc;;;;;;;;;;;;;x,,
modern_naval_training;Great War Naval Training;;;;;;;;;;;;x,,
modern_naval_training_1920;Modern Naval Training;;;;;;;;;;;;x,,
modern_naval_training_1920_desc;;;;;;;;;;;;;x,,
modern_financial_institutions;Modern Financial Institutions;;;;;;;;;;;;x,,
modern_financial_institutions_desc;;;;;;;;;;;;;x,,
modern_monetary_system;Modern Monetary System;;;;;;;;;;;;x,,
modern_monetary_system_desc;;;;;;;;;;;;;x,,
neoliberal_theory;Neoliberal Theory;;;;;;;;;;;;x,,
neoliberal_theory_desc;Originally neoliberalism was an economic philosophy that emerged among European liberal scholars in the 1930s attempting to trace a so-called 'Third' or 'Middle Way' between the conflicting philosophies of classical liberalism and collectivist central planning. The impetus for this development arose from a desire to avoid repeating the economic failures of the early 1930s, which were mostly blamed on the economic policy of classical liberalism. In the decades that followed, the use of the term neoliberal tended to refer to theories at variance with the more laissez-faire doctrine of classical liberalism and promoted instead a market economy under the guidance and rules of a strong state, a model which came to be known as the social market economy.;;;;;;;;;;;;x,,
globalized_markets;Globalized Markets;;;;;;;;;;;;x,,
globalized_markets_desc;Globalization is the process of international integration arising from the interchange of world views, products, ideas and other aspects of culture. Advances in transportation and telecommunications infrastructure, including the rise of the telegraph and its posterity the Internet, are major factors in globalization, generating further interdependence of economic and cultural activities. Though scholars place the origins of globalization in modern times, others trace its history long before the European age of discovery and voyages to the New World. Large-scale globalization began in the 19th century and in the late 19th century and early 20th century, the connectedness of the world's economies and cultures grew very quickly.;;;;;;;;;;;;x,,
modern_business_management;Modern Business Management;;;;;;;;;;;;x,,
modern_business_management_desc;;;;;;;;;;;;;x,,
modern_aesthetics;Modern Aesthetics;;;;;;;;;;;;x,,
modern_aesthetics_desc;;;;;;;;;;;;;x,,
critical_theory;Critical Theory;;;;;;;;;;;;x,,
critical_theory_desc;Critical theory is a school of thought that stresses the reflective assessment and critique of society and culture by applying knowledge from the social sciences and the humanities. In philosophy, the term critical theory describes the neo-Marxist philosophy of the Frankfurt School, which was developed in Germany in the 1930s. Frankfurt theorists drew on the critical methods of Karl Marx and Sigmund Freud. Critical theory maintains that ideology is the principal obstacle to human liberation. It was primarily established by five Frankfurt School theoreticians: Herbert Marcuse, Theodor Adorno, Max Horkheimer, Walter Benjamin, and Erich Fromm.;;;;;;;;;;;;x,,
mathematical_sociology;Mathematical Sociology;;;;;;;;;;;;x,,
mathematical_sociology_desc;Mathematical sociology is the use of mathematics to construct social theories. Mathematical sociology aims to take sociological theory, which is strong in intuitive content but weak from a formal point of view, and to express it in formal terms. Starting in the early 1940s, Nicolas Rashevsky, and subsequently in the late 1940s, Anatol Rapoport and others, developed a relational and probabilistic approach to the characterization of large social networks in which the nodes are persons and the links are acquaintanceship. During the late 1940s, formulas were derived that connected local parameters such as closure of contacts.;;;;;;;;;;;;x,,
post_colonialism;Post Colonialism;;;;;;;;;;;;x,,
